study_word,test,corrAns,priming,textbox.text,mouse.leftButton,,,
,n_s_,nose,0,nose,[1],,,
,o_a_n_e,orange,0,orange,[1],,,
,t_m_t_,tomato,0,tomato,[1],,,
,s_ea_e_,speaker,0,,[],,,
,_l_ss,glass,0,glass,[1],,,
,_a__s,walls,0,,[],,prop of hit of primed words,0.433333333
,_r__s,trees,0,,[],,prop of hit of non primed words,0.366666667
,e_y_s,eyes,0,eyes,[1],,priming score,0.066666667
,p_o_e_,phones,0,,[],,,
,p_n_i_,pencil,0,pencil,[1],,,
,f_n,fan,0,fan,[1],,,
,a__le,apple,0,apple,[1],,,
,_os_,rose,0,rose,[1],,,
,b_n_n_,banana,0,banana,[1],,,
,h_u_e,house,0,house,[1],,,
,w_n__w,window,1,window,[1],,,
,c_a_r,chair,1,,[],,,
,t_b_e_,tables,1,tables,[1],,,
,c_m_r_,camera,1,camera,[1],,,
,g_a__,grass,1,grass,[1],,,
,l_o_,lion,1,lion,[1],,,
,t_g_r,tiger,1,tiger,[1],,,
,c_s_i_n,cushion,1,cushion,[1],,,
,_a_e,vase,1,vase,[1],,,
,b_r_s,birds,1,,[],,,
,l_p_o_,laptop,1,laptop,[1],,,
,s_r__n,screen,1,screen,[1],,,
,b_i_k,brick,1,brick,[1],,,
,_ia_n_,piano,1,piano,[1],,,
,_oo_,book,1,book,[1],,,
